[DEBUG parseFuncDecl] nameToken=main, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_strlen, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_copy_n, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_is_abs, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_join, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_dirname, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_basename, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_ext, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_depth, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_has_trailing_slash, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_strip_trailing_slash, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=path_normalize, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_n, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_nonblock, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_str, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_char, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_cstr_n, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_newline, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_write_strln, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_print, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_println, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_eprint, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=io_eprintln, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_alloc_file, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_free_file, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_alloc_buf, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_free_buf, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_flush_write_buf, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_discard_read_buf, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_refill_read_buf, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=bio_parse_mode, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_abs_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_min_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_max_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_min_u64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_max_u64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_clamp_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_sign_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_sat_add_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_sat_sub_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_sat_mul_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_sat_add_u64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_sat_sub_u64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_div_ceil_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_div_floor_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_div_round_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_mod_pos_i64, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_align_up, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_align_down, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_is_aligned, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_is_pow2, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_next_pow2, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_prev_pow2, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_log2_floor, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_log2_ceil, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_popcount, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_clz, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_ctz, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_parity, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_reverse_bits, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_rol, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_ror, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_isqrt, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_isqrt_ceil, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_gcd, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=math_lcm, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=has_zero_byte, peek()==, type=168
